plot_id,Plot,Plot-T,Plant Ht,Ear Ht,Number Of Ears,Stalk Diam Major,Stalk DiamMinimum,No Brace Root Whorls Emerged,Hybrid,Density,Rep,PlantNumber
22.1.19716.79.3,79,13,199,97,2,29,22,3,LH82 / PHP02,12,4,3
22.1.19716.79.4,79,13,199,98,2,27,22,2,LH82 / PHP02,12,4,4
22.1.19716.79.5,79,13,209,94,2,31,27,3,LH82 / PHP02,12,4,5
22.1.19716.79.6,79,13,196,93,2,24,21,2,LH82 / PHP02,12,4,6
22.1.19716.79.7,79,13,215,117,2,27,22,3,LH82 / PHP02,12,4,7
22.1.19716.79.8,79,13,207,105,2,23,19,2,LH82 / PHP02,12,4,8
22.1.19716.79.9,79,13,195,108,2,24,19,2,LH82 / PHP02,12,4,9
22.1.19716.79.10,79,13,201,96,2,31,26,2,LH82 / PHP02,12,4,10
22.1.19716.79.11,79,13,201,104,2,26,19,2,LH82 / PHP02,12,4,11
22.1.19716.79.12,79,13,195,86,2,33,23,3,LH82 / PHP02,12,4,12
22.1.19716.95.1,95,21,194,90,2,34,25,2,LH82 / PHP02,18,1,1
22.1.19716.95.2,95,21,199,108,2,25,20,1,LH82 / PHP02,18,1,2
22.1.19716.95.3,95,21,200,96,2,27,21,3,LH82 / PHP02,18,1,3
22.1.19716.95.4,95,21,201,119,2,19,18,2,LH82 / PHP02,18,1,4
22.1.19716.95.5,95,21,205,114,2,22,18,2,LH82 / PHP02,18,1,5
22.1.19716.95.6,95,21,204,103,1,20,16,2,LH82 / PHP02,18,1,6
22.1.19716.95.7,95,21,209,103,2,24,19,2,LH82 / PHP02,18,1,7
22.1.19716.95.8,95,21,203,102,2,26,21,2,LH82 / PHP02,18,1,8
22.1.19716.95.9,95,21,207,87,1,24,20,2,LH82 / PHP02,18,1,9
22.1.19716.95.10,95,21,207,88,1,24,21,2,LH82 / PHP02,18,1,10
22.1.19716.95.11,95,21,206,95,2,25,19,2,LH82 / PHP02,18,1,11
22.1.19716.95.12,95,21,203,105,2,21,18,2,LH82 / PHP02,18,1,12
22.1.19716.95.13,95,21,207,106,2,25,20,1,LH82 / PHP02,18,1,13
22.1.19716.95.14,95,21,201,92,1,24,19,2,LH82 / PHP02,18,1,14
22.1.19716.95.15,95,21,192,91,1,25,21,1,LH82 / PHP02,18,1,15
22.1.19716.95.16,95,21,185,92,1,19,16,2,LH82 / PHP02,18,1,16
22.1.19716.95.17,95,21,203,90,2,30,25,3,LH82 / PHP02,18,1,17
22.1.19716.111.1,111,29,205,97,2,29,23,2,LH82 / PHP02,18,2,1
22.1.19716.111.2,111,29,188,103,2,21,16,2,LH82 / PHP02,18,2,2
22.1.19716.111.3,111,29,207,103,2,22,18,3,LH82 / PHP02,18,2,3
