plot_id,Plot,Plot-T,Plant Ht,Ear Ht,Number Of Ears,Stalk Diam Major,Stalk DiamMinimum,No Brace Root Whorls Emerged,Hybrid,Density,Rep,PlantNumber
22.1.19716.96.9,96,22,200,117,2,29,23,1,LH82 / DK3IIH6,18,1,9
22.1.19716.96.10,96,22,206,109,2,26,20,2,LH82 / DK3IIH6,18,1,10
22.1.19716.96.11,96,22,202,108,2,23,20,2,LH82 / DK3IIH6,18,1,11
22.1.19716.96.12,96,22,209,117,2,23,20,2,LH82 / DK3IIH6,18,1,12
22.1.19716.96.13,96,22,202,103,2,25,21,2,LH82 / DK3IIH6,18,1,13
22.1.19716.96.14,96,22,206,114,2,21,18,2,LH82 / DK3IIH6,18,1,14
22.1.19716.96.15,96,22,216,106,2,25,21,1,LH82 / DK3IIH6,18,1,15
22.1.19716.96.16,96,22,199,98,2,30,22,2,LH82 / DK3IIH6,18,1,16
22.1.19716.96.17,96,22,200,101,2,32,25,2,LH82 / DK3IIH6,18,1,17
22.1.19716.96.18,96,22,201,109,2,32,23,3,LH82 / DK3IIH6,18,1,18
22.1.19716.112.1,112,30,196,101,2,24,20,2,LH82 / DK3IIH6,18,2,1
22.1.19716.112.2,112,30,211,95,2,28,21,2,LH82 / DK3IIH6,18,2,2
22.1.19716.112.3,112,30,192,93,2,25,20,2,LH82 / DK3IIH6,18,2,3
22.1.19716.112.4,112,30,209,110,2,26,21,2,LH82 / DK3IIH6,18,2,4
22.1.19716.112.5,112,30,210,111,2,26,20,2,LH82 / DK3IIH6,18,2,5
22.1.19716.112.6,112,30,203,108,2,24,21,2,LH82 / DK3IIH6,18,2,6
22.1.19716.112.7,112,30,207,89,1,23,20,1,LH82 / DK3IIH6,18,2,7
22.1.19716.112.8,112,30,213,115,,25,22,2,LH82 / DK3IIH6,18,2,8
22.1.19716.112.9,112,30,212,120,2,25,22,1,LH82 / DK3IIH6,18,2,9
22.1.19716.112.10,112,30,206,97,1,22,18,2,LH82 / DK3IIH6,18,2,10
22.1.19716.112.11,112,30,203,91,1,28,21,2,LH82 / DK3IIH6,18,2,11
22.1.19716.112.12,112,30,209,95,2,27,20,1,LH82 / DK3IIH6,18,2,12
22.1.19716.112.13,112,30,200,101,2,27,22,2,LH82 / DK3IIH6,18,2,13
22.1.19716.112.14,112,30,208,99,2,29,23,2,LH82 / DK3IIH6,18,2,14
22.1.19716.112.15,112,30,204,93,2,29,22,2,LH82 / DK3IIH6,18,2,15
22.1.19716.112.16,112,30,195,79,2,31,24,2,LH82 / DK3IIH6,18,2,16
22.1.19716.56.1,56,2,198,99,2,27,21,2,LH82 / DK3IIH6,18,3,1
22.1.19716.56.2,56,2,198,97,2,24,22,3,LH82 / DK3IIH6,18,3,2
22.1.19716.56.3,56,2,204,107,2,23,20,2,LH82 / DK3IIH6,18,3,3
22.1.19716.56.4,56,2,201,86,1,27,24,2,LH82 / DK3IIH6,18,3,4
22.1.19716.56.5,56,2,204,99,2,26,21,3,LH82 / DK3IIH6,18,3,5
22.1.19716.56.6,56,2,204,94,2,26,21,3,LH82 / DK3IIH6,18,3,6
22.1.19716.56.7,56,2,184,90,2,27,19,3,LH82 / DK3IIH6,18,3,7
22.1.19716.56.8,56,2,201,88,2,28,21,3,LH82 / DK3IIH6,18,3,8
22.1.19716.56.9,56,2,197,99,2,21,18,2,LH82 / DK3IIH6,18,3,9
22.1.19716.56.10,56,2,199,85,1,22,19,3,LH82 / DK3IIH6,18,3,10
22.1.19716.56.11,56,2,205,102,1,23,20,2,LH82 / DK3IIH6,18,3,11
22.1.19716.56.12,56,2,207,97,1,22,19,2,LH82 / DK3IIH6,18,3,12
22.1.19716.56.13,56,2,204,91,1,22,18,2,LH82 / DK3IIH6,18,3,13
22.1.19716.56.14,56,2,200,112,2,20,19,2,LH82 / DK3IIH6,18,3,14
22.1.19716.56.15,56,2,193,102,1,22,19,2,LH82 / DK3IIH6,18,3,15
22.1.19716.56.16,56,2,202,94,1,22,17,2,LH82 / DK3IIH6,18,3,16
22.1.19716.56.17,56,2,201,95,2,27,23,2,LH82 / DK3IIH6,18,3,17
22.1.19716.56.18,56,2,,,2,27,23,2,LH82 / DK3IIH6,18,3,18
22.1.19716.72.1,72,10,206,89,2,31,23,2,LH82 / DK3IIH6,18,4,1
