Plot,Plant,Lodged?,Genotype,Notes
240,1,Y,PHB47 x PHP02,
240,2,Y,PHB47 x PHP02,
240,3,Y,PHB47 x PHP02,
240,4,Y,PHB47 x PHP02,
240,5,Y,PHB47 x PHP02,
240,6,Y,PHB47 x PHP02,
240,7,Y,PHB47 x PHP02,
240,8,Y,PHB47 x PHP02,
241,1,N,LH82 x LH145,
241,2,N,LH82 x LH145,
241,3,N,LH82 x LH145,Stalk lodging
241,4,N,LH82 x LH145,
241,5,N,LH82 x LH145,
241,6,N,LH82 x LH145,
241,7,N,LH82 x LH145,
242,1,Y,LH82 x PHK76,
242,2,N,LH82 x PHK76,
242,3,N,LH82 x PHK76,
242,4,N,LH82 x PHK76,
242,5,N,LH82 x PHK76,
242,6,Y,LH82 x PHK76,
242,7,N,LH82 x PHK76,
242,8,N,LH82 x PHK76,
242,9,N,LH82 x PHK76,
243,1,Y,PHK56 x PHK76,
243,2,Y,PHK56 x PHK76,
243,3,Y,PHK56 x PHK76,
243,4,Y,PHK56 x PHK76,
243,5,Y,PHK56 x PHK76,
243,6,Y,PHK56 x PHK76,
243,7,Y,PHK56 x PHK76,
243,8,Y,PHK56 x PHK76,
243,9,Y,PHK56 x PHK76,
244,1,Y,LH82 x DK3IIH6,
244,2,Y,LH82 x DK3IIH6,
244,3,Y,LH82 x DK3IIH6,
244,4,Y,LH82 x DK3IIH6,
244,5,Y,LH82 x DK3IIH6,
244,6,Y,LH82 x DK3IIH6,
244,7,Y,LH82 x DK3IIH6,
244,8,Y,LH82 x DK3IIH6,
244,9,Y,LH82 x DK3IIH6,
245,1,Y,PHK76 x PHP02,
245,2,Y,PHK76 x PHP02,
245,3,Y,PHK76 x PHP02,
245,4,Y,PHK76 x PHP02,
245,5,Y,PHK76 x PHP02,
245,6,N,PHK76 x PHP02,
246,1,Y,DK3IIH6 x LH198,
246,2,Y,DK3IIH6 x LH198,
246,3,Y,DK3IIH6 x LH198,
246,4,Y,DK3IIH6 x LH198,
246,5,N,DK3IIH6 x LH198,
246,6,N,DK3IIH6 x LH198,
246,7,N,DK3IIH6 x LH198,
246,8,Y,DK3IIH6 x LH198,
246,9,N,DK3IIH6 x LH198,
