PLOT,GENOTYPE,SEEDSPERROW,PLANTINGDATE,REPLICATE,5232018,6052018,6132018,6282018,7022018,7052018,7092018,7122018,7172018,7242018,7312018,8092018,8172018,9062018
ST18:1101,LH82 x PHP02,35,1,1,9.7261,14.551,47.369,136.46,121.16,186.59,200.4,213.2,219.73,214.14,218.62,222.52,217.97,219.07
ST18:1102,LH82 x PHK76,23,1,1,11.126,11.568,NA,126.96,158.45,179.42,202.19,218.6,231.83,225.37,230.32,231.6,232.73,225.98
ST18:1103,PHK76 x PHP02,35,1,1,12.5,12.375,47.626,141.42,169.96,208.11,218.26,233.32,249.33,240.57,245.71,247.53,247.67,248.07
ST18:1104,DK3IIH6 x PHN46,23,1,1,12.45,12.451,43.085,131.92,147.87,174.09,194.17,204.51,242,236.39,245.3,240.32,255.5,241.85
ST18:1105,PHB47 x LH198,35,1,1,14.119,25.485,59.353,149.14,91.429,164.88,181.71,199.81,222.11,215.87,219.21,214.22,217.64,216.23
ST18:1106,LH82 x LH145,23,1,1,15.077,17.671,52.69,146.7,58.467,156.65,179.76,205.69,210.1,205.07,200.82,196.6,196.91,207.51
ST18:1107,PHB47 x LH198,46,1,1,12.725,30.179,66.647,161.96,46.838,144.52,NA,188.09,209.3,213.26,222.87,198.58,207.22,211.78
ST18:1108,PHB47 x LH198,23,1,1,12.315,25.87,58.345,147.35,91.119,179.77,198.46,209.15,231.06,218.36,234.3,231.27,230.28,226.26
ST18:1109,LH82 x LH145,46,1,1,11.649,31.298,65.666,153.93,64.849,131.47,155.1,168.43,182.21,184.97,175.01,170.89,184.02,170.29
ST18:1110,LH82 x DK3IIH6,35,1,1,10.59,22.364,52.672,127.46,73.502,143.12,159.42,178.4,184.34,175.63,183.54,188.56,186.04,181.82
ST18:1111,LH82 x DK3IIH6,46,1,1,9.8085,23.103,57.652,133.2,96.085,156.13,159.23,174.31,185.79,180.79,185.99,186.49,197.43,179.24
ST18:1112,LH82 x PHP02,23,1,1,13.999,12.358,44.42,127.27,152.66,192.88,199.49,215.06,222.44,212.96,218.13,217.55,222.44,215.66
ST18:1113,LH145 x DK3IIH6,23,1,1,12.506,11.672,NA,122.14,151.84,174.2,193.85,211.17,243.71,217.76,226.34,228.41,230.16,224.45
ST18:1114,PHK76 x PHP02,23,1,1,7.1727,22.425,60.371,141.49,48.66,173.02,208.47,232.45,158.92,NA,245.31,NA,240.8,240.77
ST18:1115,DK3IIH6 x PHN46,35,1,1,13.169,16.812,49.877,138.63,159.99,192.39,208.38,215.26,229.97,240.64,228.07,228.39,236.81,223.06
ST18:1116,PHK76 x PHP02,46,1,1,13.242,30.261,67.989,154.11,66.35,166.93,184,199.35,204.34,225.38,195.03,204.2,218.26,196.76
ST18:1117,PHK56 x PHK76,46,1,1,11.389,18.474,51.038,134.45,105.27,172.46,190.55,203.71,251.23,243.39,250.93,242.34,251.06,243.05
ST18:1118,DK3IIH6 x LH198,35,1,1,14.198,14.039,48.673,149.68,154.85,200.15,219.58,229.03,260.39,260.1,261.96,257.59,263.68,181.97
ST18:1119,LH198 x PHN46,23,1,1,11.952,25.979,64.843,149.4,111.81,186.62,208.17,233.79,266,266.71,271.29,270.35,267.89,252.31
ST18:1120,DK3IIH6 x PHN46,46,1,1,11.027,23.426,57.752,124.26,158.15,184.24,201.09,219.45,250.34,243.24,241.38,238.47,245.97,229.14
ST18:1121,PHB47 x PHP02,46,1,1,12.239,17.122,52.397,142.62,174.35,195.07,221.96,231.82,196.16,224.83,253.14,229.71,214.69,235.52
ST18:1122,LH82 x PHK76,35,1,1,11.964,20.849,54.767,137.42,115.07,173.14,199.88,209.77,248.24,249.78,257.35,249.56,248.61,241.09
ST18:1123,LH145 x DK3IIH6,46,1,1,10.364,13.992,44.754,134.27,180.57,205.6,217.08,236.85,252.35,228.89,246.13,239.97,254.69,242.42
ST18:1124,PHK56 x PHK76,23,1,1,13.095,15.448,51.552,143.31,98.045,191.61,212.8,237.66,240.8,223.16,239.23,233.21,240.04,235.62
ST18:1125,LH145 x DK3IIH6,35,1,1,11.793,18.538,57.044,139.59,39.754,179.61,151,218.6,199.79,238.29,167,181.11,168.77,245.05
ST18:1126,PHK56 x PHK76,35,1,1,10.135,13.912,44.568,125.36,148.29,171.5,200.22,213.33,239.27,230.56,233.38,224.22,236.91,222.73
ST18:1127,LH82 x PHP02,46,1,1,10.454,23.66,54.081,138.96,151.11,188.23,202.21,208.97,214.38,212.22,216.1,209.32,217.78,216.48
ST18:1128,LH198 x PHN46,35,1,1,13.605,20.334,53.784,NA,112.45,NA,196.36,213.19,235.55,248.54,241.39,226.77,NA,234.71
ST18:1129,PHB47 x PHP02,35,1,1,12.73,29.271,65.111,163.53,73.555,163.66,186.58,194.02,199.43,188.14,NA,203.66,243.74,NA
ST18:1130,DK3IIH6 x LH198,46,1,1,11.556,28.099,63.825,148.09,55.444,146.74,163.43,196.1,171.98,231.06,253.35,244.85,NA,NA
ST18:1131,LH82 x LH145,35,1,1,14.29,28.741,64.941,149.78,40.07,174.53,209.52,178.25,NA,180.21,182.1,179.31,252.57,173.14
ST18:1132,LH82 x PHK76,46,1,1,15.598,27.239,59.155,145.02,59.673,157.62,169.33,179.15,203.07,194.98,200.17,193.85,198.15,190.22
ST18:1133,LH198 x PHN46,46,1,1,11.108,29.684,68.984,155.11,69.65,158.01,172.87,198.59,222.01,233.13,231.21,224.57,229.25,229.41
ST18:1134,DK3IIH6 x LH198,23,1,1,14.712,21.472,51.094,136.34,136.16,194.21,215.92,227.48,269.99,250.5,272.99,257.27,271.38,243.17
ST18:1135,LH82 x DK3IIH6,23,1,1,13.926,14.984,45.476,125.6,149.32,180.96,185.15,205.47,220.15,207.79,218.52,218.65,224.55,203.75
ST18:1136,PHB47 x PHP02,23,1,1,10.301,21.595,55.19,157.79,120.25,201.67,214.94,226.26,232.37,217.7,234.7,227.39,234.22,223.17
ST18:1201,DK3IIH6 x PHN46,23,1,2,10.137,20.69,52.318,138.83,87.322,161.47,176.53,194.14,195.4,193.19,193.83,188.64,193.15,191.62
ST18:1202,DK3IIH6 x LH198,46,1,2,10.69,18.199,51.325,141.78,82.432,152.6,175.97,180.58,227.43,222.4,242.99,232.9,240.39,231.02
ST18:1203,PHB47 x LH198,46,1,2,12.028,19.445,50.299,148.11,121.47,196.75,195.2,218.61,225.68,240.38,249.16,237.6,229.48,239.25
ST18:1204,LH82 x PHK76,23,1,2,12.293,20.687,52.034,127.78,155.97,184.93,199.21,217.44,249.38,237.05,237.12,235.74,248.32,228.66
ST18:1205,DK3IIH6 x LH198,23,1,2,14.791,13.895,45.933,127.32,164.51,199.65,208.02,224.65,234.11,221.47,231.39,230.73,240.45,227.68
ST18:1206,LH82 x DK3IIH6,35,1,2,13.069,24.942,59.53,141.14,89.629,NA,NA,186.3,250.99,NA,NA,187.11,NA,221.74
ST18:1207,DK3IIH6 x LH198,35,1,2,13.465,27.284,58.418,132.27,94.146,NA,155.4,171.3,NA,180.25,176.01,180.38,164.18,176.8
ST18:1208,PHK76 x PHP02,35,1,2,13.644,23.964,55.269,136.3,114.62,182.99,214.52,230.12,266.32,251,265.16,254.15,264.42,256.14
ST18:1209,PHK56 x PHK76,46,1,2,10.542,14.743,44.31,131.75,132.51,158.99,177.68,191.92,200.54,196.82,201.6,195.79,206.43,193.77
ST18:1210,PHB47 x LH198,23,1,2,12.766,30.777,67.013,156.35,64.393,125.19,164.14,NA,196.92,NA,214.3,203.65,NA,208.43
ST18:1211,DK3IIH6 x PHN46,35,1,2,11.554,28.595,62.229,142.24,62.721,175.1,203.71,205.3,245.82,229.84,246.27,246.4,252.99,228.87
ST18:1212,LH82 x PHP02,46,1,2,12.208,20.319,48.68,144.35,93.39,167.36,183.86,203.99,244.93,242.96,246.78,242.56,251.12,231.48
