Year,Location,Experiment,Genotype,Species,PlantID-ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,DAP,force_N,raw_data_file,Additional_Notes,line_raw_slope_N.m
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,238-3,238,3,A,jr,6/26/20,8/22/20,57,34.63,238_3_08_22_2020_11_49_13.xls,NA,3372.842
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,238-4,238,4,A,jr,6/26/20,8/22/20,57,33.45,238_4_08_22_2020_11_50_57.xls,NA,4605.54078
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,238-6,238,6,A,jr,6/26/20,8/22/20,57,31.29,238_6_08_22_2020_11_52_24.xls,NA,3498.38662
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,238-7,238,7,A,jr,6/26/20,8/22/20,57,29.14,238_7_08_22_2020_11_54_09.xls,NA,2989.06101
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,238-8,238,8,A,jr,6/26/20,8/22/20,57,39.73,238_8_08_22_2020_11_55_20.xls,NA,4579.19122
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,238-9,238,9,A,jr,6/26/20,8/22/20,57,32.86,238_9_08_22_2020_11_56_27.xls,NA,4038.77849
2020,Newark,Lodging Hybrids,LH82 x LH145,Maize,241-1,241,1,A,jr,6/26/20,8/22/20,57,16.68,241_1_08_22_2020_11_58_18.xls,NA,5264.337
2020,Newark,Lodging Hybrids,LH82 x LH145,Maize,241-2,241,2,A,jr,6/26/20,8/22/20,57,42.67,241_2_08_22_2020_11_59_22.xls,NA,6518.53127
2020,Newark,Lodging Hybrids,LH82 x LH145,Maize,241-4,241,4,A,jr,6/26/20,8/22/20,57,37.08,241_4_08_22_2020_12_00_48.xls,NA,4207.6375
2020,Newark,Lodging Hybrids,LH82 x LH145,Maize,241-5,241,5,A,jr,6/26/20,8/22/20,57,29.72,241_5_08_22_2020_12_04_24.xls,NA,5089.07665
2020,Newark,Lodging Hybrids,LH82 x LH145,Maize,241-6,241,6,A,jr,6/26/20,8/22/20,57,45.62,241_6_08_22_2020_12_05_29.xls,NA,5997.78508
2020,Newark,Lodging Hybrids,LH82 x LH145,Maize,241-7,241,7,A,jr,6/26/20,8/22/20,57,41.79,241_7_08_22_2020_12_06_42.xls,NA,4273.74259
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-1,229,1,A,jr,6/26/20,8/23/20,58,58.66,229_1_08_23_2020_11_18_16.xls,NA,4421.59113
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-2,229,2,A,jr,6/26/20,8/23/20,58,12.65,229_2_08_23_2020_11_19_33.xls,smaller plant,1779.81363
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-3,229,3,A,jr,6/26/20,8/23/20,58,42.67,229_3_08_23_2020_11_20_41.xls,NA,5691.73664
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-4,229,4,A,jr,6/26/20,8/23/20,58,40.32,229_4_08_23_2020_11_22_18.xls,slightly bent stalk,5837.16511
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-5,229,5,A,jr,6/26/20,8/23/20,58,39.93,229_5_08_23_2020_11_23_32.xls,NA,4991.70535
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-6,229,6,A,jr,6/26/20,8/23/20,58,40.32,229_6_08_23_2020_11_25_48.xls,NA,5359.42384
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-7,229,7,A,jr,6/26/20,8/23/20,58,36.49,229_7_08_23_2020_11_30_01.xls,NA,5703.39366
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-8,229,8,A,jr,6/26/20,8/23/20,58,32.08,229_8_08_23_2020_11_31_06.xls,NA,2126.89198
