Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,Torsional_Stiffness_Nm/rad,raw_data_file,Additional_Notes,DAP
2021,Newark,55&Friends,LH211,Maize,1091_7,1091,7,A,JR,5/20/21,9/28/21,101.316,1091-7_09_28_2021_14_40_40.xls,NA,131
2021,Newark,55&Friends,Tzi8,Maize,1092_3,1092,3,A,JR,5/20/21,9/28/21,130.019,1092-3_09_28_2021_14_34_25.xls,NA,131
2021,Newark,55&Friends,Tzi8,Maize,1092_4,1092,4,A,JR,5/20/21,9/28/21,58.077,1092-4_09_28_2021_14_35_31.xls,BOUNCY,131
2021,Newark,55&Friends,Tzi8,Maize,1092_6,1092,6,A,JR,5/20/21,9/28/21,73.544,1092-6_09_28_2021_14_36_25.xls,NA,131
2021,Newark,55&Friends,TBA2 - B73,Maize,1093_5,1093,5,A,JR,5/20/21,9/28/21,71.461,1093-5_09_28_2021_14_31_15.xls,NA,131
2021,Newark,55&Friends,TBA2 - B73,Maize,1093_8,1093,8,A,JR,5/20/21,9/28/21,72.421,1093-8_09_28_2021_14_30_17.xls,NA,131
2021,Newark,55&Friends,A632,Maize,1094_3,1094,3,A,JR,5/20/21,9/28/21,78.317,1094-3_09_28_2021_14_25_52.xls,NA,131
2021,Newark,55&Friends,A632,Maize,1094_5,1094,5,A,JR,5/20/21,9/28/21,93.243,1094-5_09_28_2021_14_26_49.xls,NA,131
2021,Newark,55&Friends,SA24,Maize,1095_3,1095,3,A,JR,5/20/21,9/28/21,68.545,1095-3_09_28_2021_14_22_38.xls,NA,131
2021,Newark,55&Friends,SA24,Maize,1095_4,1095,4,A,JR,5/20/21,9/28/21,117.978,1095-4_09_28_2021_14_21_50.xls,NA,131
2021,Newark,55&Friends,CML258,Maize,1096_3,1096,3,A,JR,5/20/21,9/28/21,178.774,1096-3_09_28_2021_14_17_24.xls,NA,131
2021,Newark,55&Friends,CML258,Maize,1096_4,1096,4,A,JR,5/20/21,9/28/21,174.222,1096-4_09_28_2021_14_18_22.xls,NA,131
2021,Newark,55&Friends,LH252,Maize,1097_3,1097,3,A,JR,5/20/21,9/28/21,44.371,1097-3_09_28_2021_14_13_36.xls,NA,131
2021,Newark,55&Friends,LH252,Maize,1097_4,1097,4,A,JR,5/20/21,9/28/21,26.695,1097-4_09_28_2021_14_12_37.xls,NA,131
2021,Newark,55&Friends,Mo17,Maize,1098_4,1098,4,A,JR,5/20/21,9/28/21,51.909,1098-4_09_28_2021_14_08_26.xls,NA,131
2021,Newark,55&Friends,Mo17,Maize,1098_5,1098,5,A,JR,5/20/21,9/28/21,41.455,1098-5_09_28_2021_14_09_43.xls,NA,131
2021,Newark,55&Friends,Tx807,Maize,1099_5,1099,5,A,JR,5/20/21,9/28/21,83.525,1099-5_09_28_2021_14_04_15.xls,NA,131
2021,Newark,55&Friends,Tx807,Maize,1099_6,1099,6,A,JR,5/20/21,9/28/21,122.218,1099-6_09_28_2021_14_05_06.xls,NA,131
2021,Newark,55&Friends,Ki11,Maize,1100_4,1100,4,A,JR,5/20/21,9/28/21,132.684,1100-4_09_28_2021_13_59_40.xls,NA,131
2021,Newark,55&Friends,Ki11,Maize,1100_6,1100,6,A,JR,5/20/21,9/28/21,89.736,1100-6_09_28_2021_14_00_47.xls,NA,131
2021,Newark,55&Friends,NC350,Maize,1101_10,1101,10,A,JR,5/20/21,9/28/21,63.91,1101-10_09_28_2021_13_56_14.xls,NA,131
2021,Newark,55&Friends,NC350,Maize,1101_11,1101,11,A,JR,5/20/21,9/28/21,50.648,1101-11_09_28_2021_13_56_54.xls,NA,131
2021,Newark,55&Friends,PH207,Maize,1102_4,1102,4,A,JR,5/20/21,9/28/21,58.612,1102-4_09_28_2021_13_53_25.xls,NA,131
2021,Newark,55&Friends,PH207,Maize,1102_5,1102,5,A,JR,5/20/21,9/28/21,81.021,1102-5_09_28_2021_13_52_21.xls,NA,131
